,E_Equipment Serial Number,E_OEM Nameplate SN
8128,810683,311998
8129,214027,214027
8130,297061,297061
8131,297060,297060
8132,298514,298514
8133,298309,298309
8134,298308,298308
8135,296678,296678
8136,296679,296679
8137,804523,804523
8138,804313,804313
8139,804312,804312
8140,804311,804311
8141,804174,804174
8142,804173,804173
8143,281806,05282
8144,809391,809391
8145,244525,244525
8146,244524,244524
8147,244526,244526
8148,244551,244551
8149,226119,226119
8150,226118,226118
8151,226117,226117
8152,226116,226116
8153,226115,226115
8154,297274,G06303
8155,G06320,G06320
8156,281725,281725
8157,281726,281726
8158,808939,260335-1
8159,808940,260334-1
8160,808941,260436-1
8161,850058,850058
8162,850057,850057
8163,850022,850022
8164,810566,141460
8165,850021,850021
8166,281780,281780
8167,281781,281781
8168,804513,05680
8169,809472,05589
8170,BH0065475,
8171,BH0065474,
8172,BH0065473,
8173,BH0065472,
8174,BH0065471,
8175,821234,474166
8176,807939,807939
8177,179263,GT2
8178,147826,147826
8179,245326,245326
8180,295571,05619
8181,805017,805017UK
8182,804930,804930UK
8183,296587,05830
8184,296586,05772
8185,282362,282362
8186,282361,282361
8187,801594,801594
8188,801593,801593
8189,127632,127632
8190,127631,127631
8191,809388,601122-1
8192,809387,260233-2
8193,809386,260233-1
8194,T667,T667
8195,296936,G06079
8196,G08075,G08075
8197,G06206,G06206
8198,214310,05086
8199,245199,245199
8200,802184,802184
8201,802183,802183
8202,802182,802182
8203,802181,802181
8204,808509,808509
8205,808510,808510
8206,179275,179275
8207,179330,179330
8208,282163,05441
8209,282160,05440
8210,282302,05453
8211,282164,05442
8212,930251,05435
8213,930252,05436
8214,298345,G06830
8215,809669,05588
8216,900133,T240
8217,295448,295448
8218,214344,214344
8219,214345,214345
8220,296949,296949
8221,245150,245150
8222,245149,245149
8223,226121,226121
8224,226120,226120
8225,805216,805216
8226,295198,05539
8227,295197,05479
8228,295196,05478
8229,295999,295999
8230,807817,807817
8231,807813,807813
8232,805180,805180
8233,809661,G06302
8234,809660,G06301
8235,809659,G06300
8236,10632,05319
8237,281983,05347
8238,10631,05318
8239,804718,804718
8240,805215,805215
8241,805410,805410
8242,809667,05616
8243,900399,05510
8244,244778,244778
8245,244411,244411
8246,244410,244410
8247,282448,572030
8248,226122,226122
8249,900422,05598
8250,147743,147743
8251,147742,147742
8252,805189,805189
8253,805397,805397
8254,245159,245159
8255,245165,245165
8256,809379,809379
8257,809378,809378
8258,804719,804719
8259,805470,805470
8260,244770,244770
8261,179557,179557
8262,179307,179307
8263,179306,179306
8264,179305,179305
8265,805400,805400
8266,179498,T021
8267,930255,05593
8268,930082,05090
8269,808483,808483
8270,805140,805140
8271,297692,G06374
8272,297694,G06393
8273,850007,G06874
8274,296889,296889
8275,296892,296892
8276,296891,296891
8277,809598,05715
8278,809597,05690
8279,804746,804746
8280,805254,805254
8281,THM0020,4250001
8282,G08147,G08147
8283,G08146,G08146
8284,G08145,G08145
8285,295262,5240-401-TI
8286,298510,G07020
8287,808417,4250101
8288,295547,05618
8289,BH0059082,179452
8290,214076,214076
8291,281932,281932
8292,804925,804925
8293,805012,805012
8294,808735,260204-1
8295,281817,281817
8296,281818,281818
8297,226255,226255
8298,803117,803117
8299,809446,05512
8300,5494,05494
8301,T208,T208
8302,244812,T121
8303,244550,T120
8304,9865,T175
8305,295896,05719
8306,805592,805592
8307,803113,803113
8308,804747,804747
8309,BH0030625,
8310,179584,05064
8311,805958,805958
8312,805957,805957
8313,805956,805956
8314,805955,805955
8315,244685,244685
8316,GG679306,679306
8317,GG679298,679298
8318,GG679283,679283
8319,GG679276,679276
8320,GG557156,557156
8321,GG481629,481629
8322,GG191635,191635
8323,GG191418,191418
8324,GG191425,191425
8325,GG191571,191571
8326,GG557162,557162
8327,GG191441,191441
8328,GG557157,557157
8329,GG557163,557163
8330,GG557161,557161
8331,GG557160,557160
8332,GG191641,191641
8333,GG679149,679149
8334,GG481401,481401
8335,GG192158,192158
8336,GG191442,191442
8337,GG557116,557116
8338,GG557115,557115
8339,GG185146,185146
8340,GG481642,481642
